instance,solver,success_rate,avg_cost,avg_time_ms
instance_8x8_keep0.50_seed1002.json,SA,0.1,1.8,845.6755638122559
instance_8x8_keep0.50_seed1003.json,HC,0.5,1.7,241.7983055114746
instance_8x8_keep0.50_seed1003.json,HC+restarts,1.0,0.0,263.6420726776123
instance_8x8_keep0.50_seed1003.json,SA,0.8,0.2,259.99906063079834
instance_8x8_keep0.50_seed1004.json,HC,0.0,3.3,415.67437648773193
instance_8x8_keep0.50_seed1004.json,HC+restarts,0.1,4.3,489.25652503967285
instance_8x8_keep0.50_seed1004.json,SA,0.0,1.5,828.0439376831055
instance_8x8_keep0.70_seed1000.json,HC,0.0,3.7,500.5424976348877
instance_8x8_keep0.70_seed1000.json,HC+restarts,0.3,4.6,551.4271974563599
instance_8x8_keep0.70_seed1000.json,SA,0.1,1.9,895.868706703186
instance_8x8_keep0.70_seed1001.json,HC,0.0,5.2,518.4731483459473
instance_8x8_keep0.70_seed1001.json,HC+restarts,0.3,4.4,587.5407457351685
instance_8x8_keep0.70_seed1001.json,SA,0.2,1.8,854.2518615722656
instance_8x8_keep0.70_seed1002.json,HC,0.1,3.7,550.2347946166992
instance_8x8_keep0.70_seed1002.json,HC+restarts,0.1,6.6,768.966794013977
instance_8x8_keep0.70_seed1002.json,SA,0.4,1.2,797.8301525115967
instance_8x8_keep0.70_seed1003.json,HC,0.0,4.0,540.0324821472168
instance_8x8_keep0.70_seed1003.json,HC+restarts,0.2,6.9,645.6339836120605
instance_8x8_keep0.70_seed1003.json,SA,0.2,1.5,980.5120229721069
instance_8x8_keep0.70_seed1004.json,HC,0.0,8.4,565.015697479248
instance_8x8_keep0.70_seed1004.json,HC+restarts,0.0,10.3,703.4200668334961
instance_8x8_keep0.70_seed1004.json,SA,0.0,3.7,1101.6635179519653
