size,keepProbability,seed,complete_method,variant,solutionsFound,timeMs,status,instance_file
12,0.30,1002,CHOCO,DEFAULT,50,2,OK,instance_12x12_keep0.30_seed1002.json
12,0.30,1002,CHOCO,WDEG_MINE_FIRST,50,1685,OK,instance_12x12_keep0.30_seed1002.json
12,0.30,1002,BACKTRACKING,FC_BOUNDS,50,9,OK,instance_12x12_keep0.30_seed1002.json
12,0.30,1003,CHOCO,DEFAULT,50,1,OK,instance_12x12_keep0.30_seed1003.json
12,0.30,1003,CHOCO,WDEG_MINE_FIRST,0,2000,TIMEOUT,instance_12x12_keep0.30_seed1003.json
12,0.30,1003,BACKTRACKING,FC_BOUNDS,50,4,OK,instance_12x12_keep0.30_seed1003.json
12,0.30,1004,CHOCO,DEFAULT,50,30,OK,instance_12x12_keep0.30_seed1004.json
12,0.30,1004,CHOCO,WDEG_MINE_FIRST,0,2000,TIMEOUT,instance_12x12_keep0.30_seed1004.json
12,0.30,1004,BACKTRACKING,FC_BOUNDS,50,28,OK,instance_12x12_keep0.30_seed1004.json
12,0.50,1000,CHOCO,DEFAULT,50,2,OK,instance_12x12_keep0.50_seed1000.json
12,0.50,1000,CHOCO,WDEG_MINE_FIRST,50,127,OK,instance_12x12_keep0.50_seed1000.json
12,0.50,1000,BACKTRACKING,FC_BOUNDS,50,849,OK,instance_12x12_keep0.50_seed1000.json
12,0.50,1001,CHOCO,DEFAULT,50,22,OK,instance_12x12_keep0.50_seed1001.json
12,0.50,1001,CHOCO,WDEG_MINE_FIRST,50,110,OK,instance_12x12_keep0.50_seed1001.json
12,0.50,1001,BACKTRACKING,FC_BOUNDS,50,82,OK,instance_12x12_keep0.50_seed1001.json
12,0.50,1002,CHOCO,DEFAULT,16,1,OK,instance_12x12_keep0.50_seed1002.json
12,0.50,1002,CHOCO,WDEG_MINE_FIRST,16,1,OK,instance_12x12_keep0.50_seed1002.json
12,0.50,1002,BACKTRACKING,FC_BOUNDS,16,109,OK,instance_12x12_keep0.50_seed1002.json
12,0.50,1003,CHOCO,DEFAULT,50,2,OK,instance_12x12_keep0.50_seed1003.json
12,0.50,1003,CHOCO,WDEG_MINE_FIRST,50,75,OK,instance_12x12_keep0.50_seed1003.json
12,0.50,1003,BACKTRACKING,FC_BOUNDS,50,960,OK,instance_12x12_keep0.50_seed1003.json
12,0.50,1004,CHOCO,DEFAULT,50,1,OK,instance_12x12_keep0.50_seed1004.json
12,0.50,1004,CHOCO,WDEG_MINE_FIRST,0,2000,TIMEOUT,instance_12x12_keep0.50_seed1004.json
12,0.50,1004,BACKTRACKING,FC_BOUNDS,0,2001,TIMEOUT,instance_12x12_keep0.50_seed1004.json
12,0.70,1000,CHOCO,DEFAULT,2,1,OK,instance_12x12_keep0.70_seed1000.json
12,0.70,1000,CHOCO,WDEG_MINE_FIRST,2,0,OK,instance_12x12_keep0.70_seed1000.json
12,0.70,1000,BACKTRACKING,FC_BOUNDS,2,2001,TIMEOUT,instance_12x12_keep0.70_seed1000.json
12,0.70,1001,CHOCO,DEFAULT,2,1,OK,instance_12x12_keep0.70_seed1001.json
12,0.70,1001,CHOCO,WDEG_MINE_FIRST,2,0,OK,instance_12x12_keep0.70_seed1001.json
12,0.70,1001,BACKTRACKING,FC_BOUNDS,2,500,OK,instance_12x12_keep0.70_seed1001.json
12,0.70,1002,CHOCO,DEFAULT,2,0,OK,instance_12x12_keep0.70_seed1002.json
12,0.70,1002,CHOCO,WDEG_MINE_FIRST,2,1,OK,instance_12x12_keep0.70_seed1002.json
12,0.70,1002,BACKTRACKING,FC_BOUNDS,2,578,OK,instance_12x12_keep0.70_seed1002.json
12,0.70,1003,CHOCO,DEFAULT,7,1,OK,instance_12x12_keep0.70_seed1003.json
12,0.70,1003,CHOCO,WDEG_MINE_FIRST,7,1,OK,instance_12x12_keep0.70_seed1003.json
12,0.70,1003,BACKTRACKING,FC_BOUNDS,7,2001,TIMEOUT,instance_12x12_keep0.70_seed1003.json
12,0.70,1004,CHOCO,DEFAULT,14,2,OK,instance_12x12_keep0.70_seed1004.json
12,0.70,1004,CHOCO,WDEG_MINE_FIRST,14,1,OK,instance_12x12_keep0.70_seed1004.json
12,0.70,1004,BACKTRACKING,FC_BOUNDS,0,2001,TIMEOUT,instance_12x12_keep0.70_seed1004.json
